Wall time,Step,Value
1752492773.488866,61400,-0.7951815724372864
1752492774.2767007,61600,-1.0244417190551758
1752492774.4977553,61800,-0.984001100063324
1752492774.717067,62000,-0.9846521615982056
1752492774.9477258,62200,-1.4146394729614258
1752492775.1709743,62400,-0.1633240133523941
1752492775.950229,62600,-1.0016511678695679
1752492776.1892393,62800,-0.8126099705696106
1752492776.4288201,63000,-1.8218889236450195
1752492776.6643455,63200,-1.1681721210479736
1752492776.8965352,63400,-0.6307541131973267
1752492777.618663,63600,-0.6655277609825134
1752492777.8578997,63800,-0.8093641400337219
1752492778.092256,64000,-1.420213222503662
1752492778.320669,64200,-1.4605846405029297
1752492778.5486324,64400,-0.6564317345619202
1752492779.450555,64600,-1.027799367904663
1752492779.699145,64800,-0.6501113772392273
1752492780.1235158,65000,-0.4981757700443268
1752492780.405242,65200,-0.8172746300697327
1752492780.6301813,65400,-0.6927921175956726
1752492781.380261,65600,-0.8321129679679871
1752492781.6116211,65800,-1.1296696662902832
1752492781.8490338,66000,-1.3989994525909424
1752492782.0886817,66200,-0.9843283891677856
1752492782.3296444,66400,-0.9664092063903809
1752492783.055248,66600,-0.9879176616668701
1752492783.285015,66800,-1.1458854675292969
1752492783.5120733,67000,-1.3091531991958618
1752492783.7331085,67200,-0.6589695811271667
1752492783.9496915,67400,-1.1926294565200806
1752492784.6490781,67600,-0.8047842383384705
1752492784.8626645,67800,-0.8592863082885742
1752492785.0742226,68000,-1.2490688562393188
1752492785.2820296,68200,-0.5474246144294739
1752492785.4925406,68400,-1.1206269264221191
1752492785.702769,68600,-0.7277727723121643
1752492786.436716,68800,-1.1582189798355103
1752492786.667491,69000,-1.1109672784805298
1752492786.9076953,69200,-1.253275990486145
1752492787.1549017,69400,-1.1886191368103027
1752492787.3923314,69600,-1.290841817855835
1752492788.2208774,69800,-1.1429567337036133
1752492788.4444506,70000,-1.4402905702590942
1752492788.6665144,70200,-0.8308789730072021
1752492788.907274,70400,-1.1488821506500244
1752492789.1232054,70600,-1.5466344356536865
1752492789.9952817,70800,-0.6600776314735413
1752492790.2072914,71000,-1.2298545837402344
1752492790.438625,71200,-1.6160179376602173
